Arabic_Names,English_Names
محمود رضا,Mahmoud Reda
لطيفة أمين,Latifa Amin
عبدالعظيم كامل,Abdel Azim Kamel
عصمت عبدالعليم,Ismat Abdel Alem
ماري منيب,Mary Munib
عبدالمنعم إسماعيل,Abdel Moneim Ismail
نجيب الريحاني,Najeeb Rihani
محمد كمال المصري (شرفنطح),Mohammed Kamal Al-Masri (Sharafnat)
سراج منير,Siraj Munir
عبدالعزيز أحمد,Abdul Aziz Ahmed
عبدالعزيز خليل,Abdul Aziz Khalil
فيكتوريا حبيقة,Victoria Hobeika
رشاد حامد,Rashad Hamid
فيوليت صيداوي,Violet Sidawi
على عبدالقادر,Ali Abdul Qadir
اجلال زكي,Hail Zaki
فؤاد الرشيدي,Fouad Al - Rashidi
إسكندر منسي,Alexander Mansi
أحمد شكري,Ahmed Shokry
حسن امام ,Hassan Imam
محمد السباعى,Mohamed El Sebaey
صفية حلمي,Safia Helmy
عزيزة حلمي,Aziza Helmi
إسماعيل يس,Ismail Yassin
أمينة شريف,Amina Sharif
حسن أتلة,Good Attalla
عبدالرحمن فوزي,Abdul Rahman Fawzi
شفيق نور الدين,Shafiq Nour El Din
جينا,Gina
يحيى شاهين,Yahya Shaheen
سميرة كمال,Samira Kamal
إبراهيم مصطفى,Ibrahim Moustafa
إبراهيم محب,Ibrahim Moheb
أحمد درويش,Ahmed Darweesh
سعدية,Saadia
سعاد حسين,Soad Hussein
زكي رستم,Zaki Rustam
أشرف أباظة,Ashraf Abaza
أمينة نور الدين,Amina Nour El Din
زينب  صدقى,Zainab Sedky
آمال زايد,Amal Zayed
سامية فهمي,Samia Fahmy
عبدالرحمن جميل,Abdul Rahman Jameel
حسين فياض,Hussein Fayyad
محرم عثمان,Muharram Othman
محمد راغب,Mohammed Ragheb
ببا إبراهيم,Baba Ibrahim
رجاء عبده,Please slave
ليلى فوزي,Laila Fawzi
زينات صدقي,Zidane Sedqi
محمد أمين,Mohammad Amin
عزيزة بدر,Aziza Badr
منير الفنجري,Mounir Fangri
مديحة يسري,Madiha Yusri
عبدالحميد زكي,Abdul Hamid Zaki
فرج النحاس,Faraj copper
احمد مختار,Ahmed Mukhtar
حسين رياض,Hussein Riad
محمد عطيه,Mohammed Attia
سعاد زكي,Soad Zaki
هاجر حمدي,Hajar Hamdy
صوفي ديمتري,Sophie Dmitry
مارى كافورى,Mary Cavoury
عزيزة ابراهيم,Azizah Ibrahim
روز زكى,Rose Zaky
رئيسة عفيفي,President Afifi
عبدالحليم مرسى,Abdel Halim Morsy
ماري كويني,Mary Quinnie
أحمد جلال,Ahmad Jalal
عمر جميعى,All my life
حكمت فهمي,Hikmat Fahmy
إبراهيم عبده,Ibrahim Abdo
احمد فرج الكرانى,Ahmed Faraj Alkrany
يوسف صالح,Yousef Saleh
نادر جلال,Nader Jalal
بترو طنوس,Petro Tannos
أسعد مصطفى,Asaad Mostafa
عبد المنعم سعودي,Abdul Moneim Saudi
إستر شطاح,Cover a sandwich
محمود لطفي,Mahmoud Lotfi
عباس كامل,Abbas Kamel
رفيعة الشال,High
فايد محمد فايد,Fayed Mohamed Fayed
حسن البارودي,Hassan Baroudi
محمد شوقي,Muhammad Shawqi
عبدالقادر المسيرى,Abdulqader Al-Mesairy
عز الدين إسلام,Izz al-Din Islam
سعيد خليل,Said Khalil
محمد إدريس,Mohamed Idris
عبدالعليم خطاب,Abdel-Malek Khattab
فؤاد الجزايرلي,Fouad Aljazairi
إمام محمد,Imam Mohammed
زوزو شاكر,Zozo Shaker
سعدية محمد,Saadia Mohammed
حسن ابراهيم,Hassan Ibrahim
محمد عبدالمطلب,Mohammed Abdul Muttalib
نجية رياض,Najia Riad
ليلى يوسف,Laila Yousef
فتحية علي,Fathia Ali
إبراهيم حشمت,Ibrahim Heshmat
عبده يوسف,Abdo Youssef
عبدالغني النجدي,Abdul Ghani Al-Najdi
محمد حسين السني,Mohammed Hussein Sunni
راقية إبراهيم,Upscale Ibrahim
فاطمة رشدي,Fatima Roshdy
زكي طليمات,Zaki Tulaimat
عباس البليدي,Abbas al-Blida
عثمان أباظة,Othman Abaza
دولت فهمى,Dolly Fahmy
السيد بدير,Mr. Bedair
سعدية محمود,Saadia Mahmoud
رشدى محمد,Roushdy Mohamed
محمود السباع,Mahmoud Sbaa
محمد عثمان,Mohammad Othman
أحمد البدوى,Ahmed Badawi
نور الهدى,Noor el Huda
أمينة محمد,Amina Mohammed
فيفي برسوم,Vivi Brosom
على طبنجات,On pans
توفيق إسماعيل,Tawfiq Ismail
صفا الجميل (صفا محمد),Safa Al-Gemayel (Safa Mohammed)
محمد نبيه,Mohamed Nabih
حالت فوزى,My win
نجاة علي,Najat Ali
جمالات حسن,Good aesthetics
سيد سليمان,Sayed Suleiman
عبدالرحمن شريف,Abdulrahman Sharif
ميمى احمد,Mimi Ahmed
نبوية مصطفى,Prophecy Mustafa
محمد توفيق,Mohammed Tawfik
سونيا,Sonya
عيسى أحمد,Issa Ahmed
لطفية نظمي,Lymphatic system
صفية حسين,Safia Hussein
صالح عبدالحي,Saleh Saleh
شافية أحمد,Shafea Ahmed
سميحة توفيق,Samiha Tawfiq
محمد القصبجي,Mohammed al-Qasabji
ببا ناجى,Baba Nagy
محمد أبو دراع,Mohammed Abu Dara
ناهد سمير,Nahed Samir
عبدالحميد بدوي,Abdul Hamid Badawi
فتحية أحمد,Fathia Ahmed
إبراهيم حمودة,Ibrahim Hamouda
سامية رشدي,Samia Rushdi
عباس يونس,Abbas Younis
أميرة أمير,Princess Amir
محسن حسنين,Mohsen Hassanein
علي رشدي,Ali Rushdie
صلاح عبدالحميد,Salah Abdul Hamid
إبراهيم يوسف,Ibrahim Youssef
حسن الإمام,Good imam
نادية السبع,Nadia the Seven
عبدالغني السيد,Abdul Ghani Al Sayed
مطاوع عويس,Mutawa &#39;Aweys
ببا عز الدين,Baba Izz al-Din
ليلى عبده,Laila Abdo
زيزى سعيد,Zizi Said
زوزو محمد,Zozo Mohammed
عايدة عزيز,Aida Aziz
سنية شوقي,Sunni Shawki
لولا جبر,Lula Jabr
محمد البكار,Mohammed Al-Bakar
أحمد نجيب,Ahmed Naguib
وداد حمدي,Wadad Hamdi
عباس رحمي,Abbas Rahmi
حامد طاهر,Hamed Taher
زوزو ماضي,Zuzu Madi
وسيم عبدالمجيد,Waseem Abdul Majeed
نجوى سالم,Najwa Salem
صلاح منصور,Salah Mansour
حورية محمد,Horeya Mohamed
محمود شكوكو,Mahmoud Shoukoku
على لوز,On the almonds
حسين إسماعيل,Hussein Ismail
جيزال كاسادسو,Gazelle Cassadso
نيللي مظلوم,Nelly Mazloum
سلوى الصغيرة,Small Salwa
محمد يوسف,Mohamed Yousif
أحمد بخيت,Ahmed Bakhit
كوكا,Coca
بدر لاما,Badr Lama
مس جويس جرو,Miss Joyce Puppy
كامل حافظ,Full Keep
أحمد عبدالحليم,Ahmed Abdel Halim
توفيق المردنلى,Tawfiq Al-Mardanli
سلوى ضو,Salwa Dou
أنطوان أنيس,Antoine Anis
كوثر عبدالله,Kawthar Abdullah
زوزو حمدي الحكيم,Zozo Hamdi al-Hakim
انطوان الصغير,Antoine the little
محمد عبد الله,Mohammed Abdullah
حليم الرومي,Halim Al Roumi
صباح,morning
محمود نصير,Mahmoud Nasir
منى,Mona
يحيى مراد,Yahya Murad
أمال سالم,Amal Salem
فتحية شاهين,Fathia Shaheen
إبراهيم قدري,Ibrahim Kadri
صلاح نظمي,Salah Nazmi
احلام,Dreams
أحلام,Dreams
هدى شمس الدين,Hoda Shams El Din
انجيل,gospel
أليس أنجيل,Alice Angel
فهمي أمان,Fahmi Aman
نادرة القصبجي,Rare Kasabji
نعيمة جمال,Naima Jamal
عبدالحليم القلعاوي,Abdul Halim al-Qalawi
فؤاد منيب,Fouad Mounib
فؤاد نويرة,Fouad Noireh
عماد الجندى,Emad El Gendy
وجيه ناصر,Wajih Nasser
حسنة سليمان,Hassan Suleiman
مفيدة أحمد,Helpful Ahmed
سميحة الطوخي,Samiha Toukhi
فطين عبدالوهاب,Fatin Abdel Wahab
عبدالنبي محمد,Abdulnabi Mohammed
السيد فخر الدين,Mr. Fakhreddine
سامية عبدالعزيز,Samia Abdulaziz
مارى نجار,Mary Najjar
  نيللى,Nelly
مورجان,Morgan
فيليب كمال,Philip Kemal
عايدة مختار,Aida Mokhtar
سابو,Sabo
محمد رضا,Mohammad Redah
عبد الوهاب الدوكالي,Abdel Wahab Doukali
أم كلثوم,Umm Kalthoum
إبراهيم فوزي (إبراهيم جكله),Ibrahim Fawzi (Ibrahim Jeklah)
احمد عامر,Ahmed Amer
محمد اسماعيل,Mohammed Ismail
فواد جعفر,Foad Jafar
غرام شيبا,Chiba Gram
فريد شوقي,Farid Shawqi
عفاف شاكر,Afaf Shaker
سعاد مكاوي,Suad Makkawi
سناء سميح,Sana Samih
يعقوب طانيوس,Jacob Tanius
لولا عبده,Lola Abdo
أحمد سالم,Ahmad Salem
عبدالعزيز حمدي,Abdul Aziz Hamdy
فتحية فؤاد,Fathia Fouad
نادية الجندي,Nadia El-Gendy
سامح عبدالرحمن,Sameh Abdulrahman
محمد عمارة,Mohamed Amara
درية أحمد,Doria Ahmed
سعدية كريم,Saadia Karim
كارم محمود,Karem Mahmoud
محمد الجنيدي,Mohammed Al-Junaidi
إبراهيم عمارة,Ibrahim Amara
فاطمة,Fatema
أبو العينين شعيشع,Abu al-Enein Shisha
عبدالحميد يونس,Abdul Hamid Younis
جورج أبيض,George White
عزيز عثمان,Aziz Othman
أنور زكي,Anwar Zaki
جمعة إدريس,Gomaa Idris
 احمد التهامي ,Ahmed Al - Tohamy
آمال وحيد,Lonely hopes
سعاد فخرى,Suad Fakhry
كريمة حسني,Karima Hosni
محمد فوزي,Mohamed Fawzy
عز الدين شاكر,Izz El Din Shaker
سهام عطية,Siham Attieh
موسى حلمى,Mousa Helmy
وهبة حسب الله,And a gift by God
محمد مصطفى,Mohammed Mustafa
محمد صبيح,Mohamed Sobeih
كوكب صادق,Honest planet
مسز مورجان,MSM Morgan
حسن جودة,Good quality
محمد محمود ابراهيم,Mohamed Mahmoud Ibrahim
فاطمة علي,Fatima Ali
احمد عبدالله,Ahmed Abdullah
صالح الكرانى,Saleh Alkrany
أديب الطرابلسي,Adeeb Trabelsi
لطفيه أمين,Lutfi Amin
نبيل خيرى,Nabil Khairy
على يوسف,Ali Yusuf
حسن أبو زيد,Hassan Abu Zeid
محمد حلمي,Mohamed Helmy
فؤاد شبل,Fouad Shebel
زكي صالح,Zaki Saleh
لور دكاش,Laure Daccache
مختار يسري,Mokhtar Yousry
محمد سلمان,Mohamed Salman
بديعة مصابني,Excellent
نعمات سامى,Namiat Sammy
حسين عسر,Hussein Asr
إعتدال شاهين,Moderation Shaheen
زكي محمد حسن (زكي الحرامي),Zaki Mohammed Hassan (Zaki Harami)
سيد فرج السيد,Sayed Faraj Al Sayed
محمد رشاد,Mohamed Rashad
عبدالعزيز سعيد,Abdul Aziz Saeed
كمال الشناوي,Kamal Al Shennawi
شلاضيمو,Schladimu
عبدالعزيز محمود,Abdul Aziz Mahmoud
بهيجة حافظ,Joyful Hafez
كمال حسين,Kamal Hussein
أحمد منصور,Ahmed Mansour
وديع الصافي,Wadih El Safi
محمد التابعي,Mohammed al-Tabi
شادية,Shadia
محمد علوان,Mohammed Alwan
إلياس مؤدب,Elias is polite
عبدالبديع العربي,Abdul-Badi&#39;a Al-Arabi
إيزاك ديكسون,Isaac Dixon
بسيمة أحمد,Bassima Ahmed
نصر الدين مصطفى,Nasr El-Din Mostafa
أحمد البيه,Ahmed Al-Bayah
توحيد هلال,Unification of Hilal
ميمي عزيز,Mimi Aziz
زينات مجدي,Zainat Magdy
فايزة توفيق,Fayza Tawfiq
فوقية كامل,Full superstructure
هاجر التلمسانى,Hajar Tlemceni
ماري باي باي (بهيجة محمد علي),Mary Bai Bey (Bahija Mohammed Ali)
سيد الحلو,Mr. Helou
محمد الحلو,Mohamed El Helou
نبيل الألفي,Nabil Al-Alfi
نعيمة الصغير,Little Naima
حافظ أمين,Hafez Amin
محمد الطوخي,Mohamed Toukhi
ماري عز الدين,Mary Ezz El Din
جمالات زايد,Gamalat Zayed
فاروق علي,Farouk Ali
رشوان مصطفى,Rashwan Mustafa
علي رضا,Ali Rida
جيهان,Jihan
هند رستم,Hind Rostom
سمير عبدالله لاما,Samir Abdullah Lama
إبراهيم جلال,Ibrahim Jalal
عزيمة توفيق,The determination of Tawfiq
سليمه مراد,Selima Murad
جعفر السعدي,Jafar al-Saadi
عبدالله العزاوى,Abdullah Al-Azzawi
فوزي محسن الأمين,Fawzi Mohsen Secretary
اعتدال يوسف,The moderation of Joseph
احلام إبراهيم,Dreams of Abraham
شيراك,Chirac
شيراك سورين,Chirac Soren
بدري حسون فريد,Badri Hassoun Farid
رشدي أباظة,Rushdi Abaza
حسين زايد,Hussein Zayed
صفاء مصطفى,Safa Mustafa
أحمد حلمي,Ahmed Helmy
سهير فخري,Suhair Fakhri
عبدالرحمن,Abdulrahman
منير صدقى,Mounir Sedqi
كيتي,Kitty
فيفى مصطفى,Wifi Mostafa
فتحية محمود,Fathia Mahmoud
محمود التوني,Mahmoud Al-Tuni
إنصاف عبدالمقصود,Adel Abdel Maqsoud
ليز ولين,Liz and Lynn
دوللي أنطوان,Dolly Antoine
كاميليا,Camellia
محمد عبدالقدوس,Mohammed Abdul Qaddous
صفية ثروت,Safia Tharwat
صلاح الدين,Salahaddin
لولا محمد,Lola Mohammed
حسني مصطفى,Hosny Mostafa
زهور شمس الدين,Flowers of Shams El Din
زينب محمد,Zainab Mohammed
محمد أبو السعود,Mohammed Abu Saud
شكري سرحان,Shukri Sarhan
عمر الحريري,Omar Hariri
خيرية خيري,Charity charity
نبيلة السيد,Nabila El Sayed
زكى كاريوكا,Zaki Karioka
عايدة فؤاد,Aida Fouad
ليلى,Leila
احمد بالى,Ahmed Bali
عبدالمنعم بسيوني,Abdel Moneim Bassiouni
سعاد فوزي,Soad Fawzi
سعد عبد الوهاب,Saad Abdel Wahab
نعيمة عاكف,Naima Akef
مختار حسين,Mokhtar Hussein
حسن كفته,Hassan Kufta
عايدة كامل,Aida Kamel
فايدة كامل,Fayda Kamel
فيفي سعيد,Happy Fifi
عبدالرحمن الخطيب,Abdulrahman Al Khatib
ثريا حسن,Thoraya Hassan
دلال,Dalal
طوسون معتمد,Toson certified
زيزى كامل,Zizi Kamel
سميحة محمد,Samiha Mohammed
نور الدمرداش,Nour Aldmrdash
عدلي كاسب,Adly Kaseb
محمود عزمي,Mahmoud Azmi
وفاء جميل,Wafa Jamil
شهرزاد,Shahrazad
علي قدري,Ali Kadri
رفعت الجمال,Beauty rose
حورية حسن,Hory Hassan
إيفون ماضي,Yvonne Mady
رجاء محمد,Raja Mohammed
فوزية إبراهيم,Fawzia Ibrahim
عادل أدهم,Adel Adham
محمد على محمد,Mohamed Ali Mohamed
حسن طاهر,Hassan Taher
فؤاد كامل,Fouad Kamel
حسين إبراهيم,Hussein Ibrahim
رجوات منصور,Rajwat Mansour
احمد ابراهيم احمد,Ahmed Ibrahim Ahmed
صلاح الدين حمدى,Salah Eddin Hamdy
إلهام علي,Elham Ali
علية علي,Alya Ali
أحمد لوكسر,Ahmed Luxer
حمادة عبداللطيف,Hamada Abdullatif
ثريا سالم,Thuraya Salem
تاجه زكي,His crown is Zaki
فاروز,Faroz
عمران بحر,Imran Bahr
عصام عبده,Essam Abdo
ماجدة,Magda
حسين عاكف,Hussein Akef
سومه ألياس,Soma Elias
زكي الفيومي,Zaki Fayoumi
ماجدة الياس,Magda Elias
سلوى سالم,Salwa Salem
علية فوزي,Alia Fawzi
ناهد فريد,Nahed Farid
سميحة أيوب,Samiha Ayoub
عادل عباس,Adel Abbas
عادل حسن,Adel Hassan
عبدالرحيم الزرقاني,Abdul Rahim Al Zarqani
عبدالغني ناصر,Abdul Ghani Nasser
هريدي عمران,Haridi Omran
علي المعاون,Ali the assistant
أحمد الجزيري,Ahmed Al-Jazeeri
أنور حسونة,Anwar Hassouna
محمد عبدالرحمن,Mohamed Abdelrahman
حسان اليماني (حسان فضل),Hassan Al-Yamani (Hassan Fadl)
أحمد غانم,Ahmed Ghanem
سوسن,Sawsan
فكرية محمد,Fakrit Mohamed
لورا,Lura
فيروز,Turquoise
الطوخي توفيق,Toukhi Tawfiq
نبوية فهمي,Nehemiah Fahmy
عماد حمدي,Emad Hamdy
حسيبة رشدي,Hassiba Rushdi
أرماندو لازارا,Armando Lazare
مدام فيرونيتشو,Madame Veronichu
جون ميليتي,John Milletti
علي ادريس,Ali Idris
توفيق الدقن,Tawfiq al-Dankin
سمير عزت,Samir Ezzat
نازك,Nazek
كاميليا صبحى,Camelia Sobhy
نوال بغدادى,Nawal Baghdadi
محمد قنديل,Mohamed Kandil
بهيجة رشدي,Bahija Rushdi
علي أحمد,Ali Ahmed
عبدالباسط البنان,Abdulbaset Al Banan
دنجل (عجمي عبدالرحمن),Dungel (Ajmi Abdel Rahman)
عايدة فوزي,Aida Fawzi
أحمد قدري,Ahmed Kadri
حسن الدويني,Hassan Al-Dwaini
حسين لطفى,Hussein Lotfy
إسماعيل شبانة,Ismail Shabana
برلنتي (برلنتي حسن),Brillante (Berlanty Hassan)
لطفي عبدالحميد,Lotfi Abdul Hamid
بديعة فوزي,Wonderful Fawzi
جين كيلي,Jane Kelly
ليزلي كارون,Leslie Caron
جورج جوتاري,George Gautari
أوسكار ليفانت,Oscar Levant
نينا فوش,Nina Foch
زمردة,Emerald
شريفة ماهر,Honest
مى مدور,Mei Mador
محمد سليمان,Mohamed Soliman
سيد عبدالله,Mr. Abdullah
نادية الشناوي,Nadia El Shennawy
صبري عبدالعزيز,Sabri Abdul Aziz
رجاء يوسف,Raja Yousef
جلال صادق,S homepage!
محمود الرشيدى,Mahmoud Al-Rashidi
أحمد أبو عبية,Ahmed Abu Abia
سامى نعسان,Samy sleepy
كامل الشباسي,Kamel Al - Shabasi
أحمد عبد الفتاح,Ahmed Abdel Fattah
عمر الجيزاوي,Omar Aljizawi
عبدالغني قمر,Abdul Ghani Amar
أحمد مظهر,Ahmed Mazhar
كمال ياسين,Kamal Yassin
محمد سالم حسن ,Mohamed Salem Hassan
جمال حمدى,Jamal Hamdy
سعد أردش,Saad Ardash
فؤاد الطوخي,Fouad Toukhi
عبدالحفيظ التطاوي,Abdulhafeez Al-Tataoui
محمد سعد محمد,Mohamed Saad Mohamed
أسامة الحفني,Osama Al-Hafni
عبدالمنعم إبراهيم,Abdul Moneim Ibrahim
زكريا سليمان,Zakaria Solomon
شريف حمودة,Sherif Hamouda
صفوت ابو العطا,Safwat Abou Elta
أنور أحمد,Anwar Ahmed
حسين عبدالنبي,Hussein Abdulnabi
قسمت شيرين,Shireen was divided
هدى سلطان,Hoda Sultan
زينب حسن الإمام,Zainab Hassan Imam
انشراح الألفى,Anhrah Al-Alfi
سناء جميل,Beautiful Sana
محمد السبع,Mohamed El Sabaa
سميرة أحمد,Samira Ahmed
نجيب عبده,Najib Abdo
حياة صبرى,The life of Sabry
زهرة العلا,Flower of Ola
رجاء عبدالحميد,Raja Abdel Hamid
حسن نعمة الله,Good grace of God
سميرة محمد,Samira Mohammed
سيد إسماعيل,Sayed Ismail
سميحة مراد,Samiha Murad
نعيمة وصفي,Naima Wasfi
ملك الجمل,King of the camel
عواطف يوسف,Awatif Youssef
شكوكو الصغير,Little Shukoku
نبوية حسن,Good Prophecy
التونى,Altoni
سامية محسن,Samia Mohsen
ثلاثى مافيستو,Three Mavisto
جمال فارس,Jamal Fares
سوسن فؤاد,Sawsan Fouad
عالية,High
سامي الشّوا,Sami Shawa
لبلبة,To the heart
مريم فخر الدين,Maryam Fakhreddine
فتوح نشاطي,Open my activity
شريفة فاضل,Sharifa Fadel
فؤاد سعيد,Fouad Said
سيد شعبان,Sayed Shaaban
آمال السيد,Mr
سالي,Sally
يوسف سليم,Yousef Saleem
ريكاردو كريدي,Ricardo Cridi
إعتماد خورشيد,Khurshid accreditation
عبد الغنى النجدى,Abdul Ghani Al-Najdi
الفرقة السودانية لوحدة وادى النيل,The Sudanese band of the Nile valley unit
محمد حسن داوود,Mohammed Hassan Dawood
سليم بسطاوى ,Salim Bastawy
كامل عثمان كنتي,Kamel Osman Kenti
ثريا,chandelier
هيرمين,Hermine
ويليام هولدن,William Holden
نانسى أولسون,Nancy Olson
فرانك لفجوي,Frank Lefgoy
باول بيسرني,Paul Biserney
كاثرين وارين,Catherine Warren
جين إيفانز,Jane Evans
محمد فاضل,Mohammed Fadhel
عواطف رمضان,Emotions of Ramadan
عبدالعزيز خورشيد,Abdulaziz Khorshid
طلعت علام,Talaat Allam
فيفى ماهر,Wafi Maher
كوثر شفيق,Kawther Shafiq
محمود الزهيري,Mahmoud Al-Zuhairi
عز الدين حنفى,Izz al-Din Hanafi
ميمي عساف,Mimi Assaf
سعيد عبدالوهاب,Saeed Abdel Wahab
عبدالمنعم مدبولي,Abdul Moneim Medbouli
ابراهيم الحلو,Ibrahim El Helou
حلمي حليم,Helmy Halim
أحمد أباظة,Ahmed Abaza
إبراهيم عباس,Ibrahim Abbas
مونا فؤاد,Mona Fouad
الغوريلا جوجو,Gorilla gorilla
عباس حلمي,Abbas Helmy
محمد الملوانى,Mohamed El Mellawany
غادة فلفل,Ghada Pepper
هدى عيسى,Huda Issa
أنور الخوام,Anwar Al Khawam
صلاح وهبي,Salah Wahbi
شفيق جلال,Shafiq Jalal
أجفان الأمير,The prince&#39;s eyelids
خيرية أحمد,Charity Ahmed
مارلى,Marley
رضوان,Radwan
جوهرة,jewel
كهرمانة,Kahramana
فوزية عبدالوهاب,Fawzia Abdel Wahab
إسماعيل نظمى,Ismail Nazmi
جلال,Jalal
فوزية مصطفى,Fawzia Mustafa
فؤاد المهندس,Fouad Engineer
فتحية محمد,Fathia Mohammed
سمير جمعة,Samir Gomaa
عواطف مصطفى,Awatif Mustafa
جورج يوردانيدس,George Yordanides
انجلو,Angelo
ايلين دياتو,Eileen Diato
سلامة إلياس,Safety Elias
هند علام,Hind Allam
مارجو,Margo
قدرية قدري,Kadri Qadri
خريستو كلاداكيس,Christo Cladakis
محمد حسين عثمان,Mohammed Hussein Osman
إبراهيم الشامي,Ibrahim al-Shami
برهان صادق,Proof sincere
أنور دياب,Anwar Diab
محمد فرج,Mohammed Faraj
إبراهيم سامى,Ibrahim Samy
اسماعيل عبدالمجيد,Ismail Abdul Majeed
زكريا حواش,Zakaria Hawash
على محرم,On Muharram
تهانى رامز,Congratulations Rams
إسماعيل عبدالمجيد,Ismail Abdul Majeed
سهير رمزي,Suheir Ramzi
وجيه الأطرش,Wajih Al Atrash
اليس,Alice
عبدالباقي حسنين,Abdulbagi Hassanein
زهير صبرى,Zuhair Sabry
نوال سامي,Nawal Sami
حسين الصياد,Hussein al-Sayyad
عفت سعيد ,Effat Said
محمد مازن الأنصاري,Mohammed Mazen Al Ansari
أنور السيد,Anwar El Sayed
سعاد محمد,Soad Mohammed
تفيده برهان,It is proof
يسر توفيق,Toufic is pleased
ليلى الجزائرية,Algerian Leila
محمد زايد,Mohamed Zayed
محمد القلعاوي,Mohammed Al - Qal&#39;awi
يوسف حلمي,Yousef Helmy
منير فريد,Mounir Farid
سليمان الجندي,Suleiman the soldier
فتحي الجندي,Fathi al-Jundi
علي عرابي,Ali Orabi
ناجي مصطفى,Naji Mustafa
سلوى سامي,Salwa Sami
محمد الأسيوطي,Mohamed El Assiouty
بديع منيب,Badi Mounib
كمال إمام,Kamal Imam
عبد السلام محمد,Abdul Salam Mohammed
إحسان القلعاوي,Ihsan al-Qal&#39;awi
عادل عزمي,Adel Azmi
رجاء توفيق,Please correct
